taxon	p	effect_size_r	log2FC	padj
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247	0.000173564874429446	-0.1243	0.82	0.003767378744968563
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma	0.00022556225334740496	-0.1585	1.0015	0.004801873354914948
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_paragasseri	0.0002436039460886349	-0.0787	1.6953	0.005088105062643751
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_salivarius	0.00028419583380498296	-0.0927	5.1569	0.00582601459300215
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_sp_MJR8396C	0.00032478810111257026	-0.0986	0.9948	0.006537098689665732
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0003557353844209528	-0.1633	0.8977	0.006908755623754293
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.0003557353844209528	-0.1633	0.8977	0.006908755623754293
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri	0.00036474012996621363	-0.0758	2.7247	0.006961505584010318
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum	0.00037604242198522193	-0.1129	1.2726	0.007055575612502384
k__Bacteria|p__Firmicutes	0.0004164121547948237	0.162	-0.1551	0.0076828042559644975
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_sp_DISK_18	0.0004583616590569055	-0.0763	1.709	0.00831813699304909
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi	0.0005575656291690818	-0.1482	0.8275	0.008572571548474633
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gallinarum	0.0005241482409036344	-0.0592	5.8497	0.008572571548474633
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella	0.0005575656291690818	-0.1482	0.8275	0.008572571548474633
k__Archaea	0.0004926336882721507	-0.1372	0.9671	0.008572571548474633
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0.0005484995315720588	-0.1181	2.5956	0.008572571548474633
k__Bacteria	0.000532671365401058	0.1377	-0.0037	0.008572571548474633
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.000521876376427025	-0.1586	0.7088	0.008572571548474633
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	0.0005484995315720588	-0.1181	2.5956	0.008572571548474633
k__Bacteria|p__Synergistetes	0.0005484995315720588	-0.1181	2.5956	0.008572571548474633
k__Archaea|p__Euryarchaeota	0.0004926336882721507	-0.1372	0.9671	0.008572571548474633
k__Bacteria|p__Synergistetes|c__Synergistia	0.0005484995315720588	-0.1181	2.5956	0.008572571548474633
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	0.0005821220025954263	0.1575	-0.5594	0.008827521327029273
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	0.0005904661179751061	-0.1498	0.4997	0.008830743142161342
k__Bacteria|p__Firmicutes|c__Bacilli	0.0005982888307697386	-0.1576	0.6013	0.008830743142161342
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0.0006072515702557896	-0.1495	0.4906	0.008845098529909988
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.000642491237830163	-0.1567	0.5981	0.009236854549064812
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	0.0006935099378443033	0.1553	-0.5582	0.009842506425559536
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus	0.0008251632956954098	0.0601	-2.1672	0.011562731244744542
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.0008522071013697863	-0.1296	0.8979	0.01164683038538708
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium	0.0008472581186972221	-0.0805	-0.5858	0.01164683038538708
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.0009695956159493602	-0.128	0.8978	0.013089540815316363
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus	0.0010047883906720162	-0.1091	2.5849	0.013401213837035204
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica	0.0010810449431949197	-0.0712	3.8864	0.014246628001390193
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0011926698665074133	-0.1265	0.9067	0.01517569588762881
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.0011926698665074133	-0.1265	0.9067	0.01517569588762881
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0011926698665074133	-0.1265	0.9067	0.01517569588762881
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_299	0.0012478438509655276	0.096	-2.0458	0.0156973084433959
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.0012641914137187407	-0.148	0.475	0.01572426848299602
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	0.0012913494710385944	-0.1328	1.341	0.01588359849377471
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38	0.0014437291806776687	0.1314	-0.5754	0.017562727505606366
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis	0.0015544098712330452	0.1412	-0.5429	0.018703605733206317
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_gallinarum	0.0016424504207021723	-0.0605	2.9847	0.019550458233519405
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus_group	0.0017604955222517804	-0.0993	1.961	0.02073264407588001
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0.0018550693073130953	-0.0786	1.4159	0.021616439191532597
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.0019490518671772155	-0.1416	1.1063	0.022475004343387266
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans	0.0020228410927782296	0.1188	-0.7376	0.023085413295932992
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae	0.002064722285852266	-0.0938	1.2901	0.02332293439222917
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum	0.0021180355352354175	0.1359	-0.6472	0.02344665337505607
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	0.0021180355352354175	0.1359	-0.6472	0.02344665337505607
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus	0.002263076148500192	-0.1122	0.7218	0.02480421085534369
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	0.0023076703497192834	-0.1179	1.3519	0.025045010560188694
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	0.00237637322066231	0.0788	0.7251	0.025083605428106365
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_saeculare	0.0023792037668935576	-0.0546	3.4969	0.025083605428106365
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rhamnosus	0.0023691389133791985	-0.0945	2.4049	0.025083605428106365
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0.002430656997520236	-0.06	4.6921	0.025384314115612275
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma_massiliensis	0.002475861594341061	-0.1023	0.5021	0.025614754999397703
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.002505968194861238	-0.1359	0.3521	0.02568617399732769
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.0025399604455131957	-0.1357	0.3558	0.025795745075074383
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	0.0025776447386771984	-0.1377	0.4419	0.025940479324687803
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	0.002667007462667362	0.1328	-0.5207	0.026597993343898826
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_58	0.002722684855545302	0.1343	-0.5163	0.026648051303730793
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_OM08_24	0.0027117159441144303	0.0436	-2.6457	0.026648051303730793
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An131	0.0027442437656958543	-0.0788	2.2272	0.026648051303730793
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini	0.0029219187580932005	-0.1091	0.6944	0.028126644045297154
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii	0.002970711862742516	0.0932	-0.7905	0.02834981062117211
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_asini	0.0030174781312500665	-0.0367	27.3201	0.028549985395673706
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus|s__Cloacibacillus_evryensis	0.003114490791596339	-0.0911	2.7482	0.028972616019303756
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.003105662987094001	-0.1338	0.315	0.028972616019303756
k__Bacteria|p__Bacteroidetes	0.003332997337873943	0.1348	-0.1292	0.03024285289365947
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.003316708207068104	0.1348	-0.1293	0.03024285289365947
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.003316708207068104	0.1348	-0.1293	0.03024285289365947
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	0.0036772339934342015	0.1145	-1.4413	0.03309510594090782
k__Bacteria|p__Firmicutes|c__Tissierellia	0.003803598881277551	-0.0444	5.5264	0.03341733302836706
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	0.003803598881277551	-0.0444	5.5101	0.03341733302836706
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	0.003803598881277551	-0.0444	5.5101	0.03341733302836706
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum	0.003987524168121996	-0.131	0.4831	0.03475739570166181
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.0041713651045356655	-0.1314	0.563	0.03607579039625767
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	0.004341784214987016	-0.0772	1.415	0.03725856686814439
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_oris	0.004435834726678557	-0.0465	0.4432	0.037772838787947405
